"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10262,"RATTC",8,"1996-07-22","1996-08-19","1996-07-25",3,"48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10269,"WHITC",5,"1996-07-31","1996-08-14","1996-08-09",1,"4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10271,"SPLIR",6,"1996-08-01","1996-08-29","1996-08-30",2,"4.54","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10272,"RATTC",6,"1996-08-02","1996-08-30","1996-08-06",2,"98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10289,"BSBEV",7,"1996-08-26","1996-09-23","1996-08-28",3,"22.77","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK"
10294,"RATTC",4,"1996-08-30","1996-09-27","1996-09-05",2,"147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10305,"OLDWO",8,"1996-09-13","1996-10-11","1996-10-09",3,"257.62","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10307,"LONEP",2,"1996-09-17","1996-10-15","1996-09-25",2,"0.56","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10310,"THEBI",8,"1996-09-20","1996-10-18","1996-09-27",2,"17.52","The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
10314,"RATTC",1,"1996-09-25","1996-10-23","1996-10-04",2,"74.16","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10315,"ISLAT",4,"1996-09-26","1996-10-24","1996-10-03",2,"41.76","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10316,"RATTC",1,"1996-09-27","1996-10-25","1996-10-08",3,"150.15","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10317,"LONEP",6,"1996-09-30","1996-10-28","1996-10-10",1,"12.69","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10318,"ISLAT",8,"1996-10-01","1996-10-29","1996-10-04",2,"4.73","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10321,"ISLAT",3,"1996-10-03","1996-10-31","1996-10-11",2,"3.43","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
10324,"SAVEA",9,"1996-10-08","1996-11-05","1996-10-10",1,"214.27","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10329,"SPLIR",4,"1996-10-15","1996-11-26","1996-10-23",2,"191.67","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10338,"OLDWO",4,"1996-10-25","1996-11-22","1996-10-29",3,"84.21","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10344,"WHITC",4,"1996-11-01","1996-11-29","1996-11-05",2,"23.29","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10346,"RATTC",3,"1996-11-05","1996-12-17","1996-11-08",3,"142.08","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10349,"SPLIR",7,"1996-11-08","1996-12-06","1996-11-15",1,"8.63","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10355,"AROUT",6,"1996-11-15","1996-12-13","1996-11-20",1,"41.95","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10359,"SEVES",5,"1996-11-21","1996-12-19","1996-11-26",3,"288.43","Seven Seas Imports","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK"
10364,"EASTC",1,"1996-11-26","1997-01-07","1996-12-04",1,"71.97","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
10369,"SPLIR",8,"1996-12-02","1996-12-30","1996-12-09",2,"195.68","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10375,"HUNGC",3,"1996-12-06","1997-01-03","1996-12-09",2,"20.12","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
10377,"SEVES",1,"1996-12-09","1997-01-06","1996-12-13",3,"22.21","Seven Seas Imports","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK"
10383,"AROUT",8,"1996-12-16","1997-01-13","1996-12-18",3,"34.24","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10385,"SPLIR",1,"1996-12-17","1997-01-14","1996-12-23",2,"30.96","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10388,"SEVES",2,"1996-12-19","1997-01-16","1996-12-20",1,"34.86","Seven Seas Imports","90 Wadhurst Rd.","London",NULL,"OX15 4NB","UK"
10393,"SAVEA",1,"1996-12-25","1997-01-22","1997-01-03",3,"126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10394,"HUNGC",1,"1996-12-25","1997-01-22","1997-01-03",3,"30.34","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
10398,"SAVEA",2,"1996-12-30","1997-01-27","1997-01-09",3,"89.16","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10400,"EASTC",1,"1997-01-01","1997-01-29","1997-01-16",3,"83.93","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK"
10401,"RATTC",1,"1997-01-01","1997-01-29","1997-01-10",1,"12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10415,"HUNGC",3,"1997-01-15","1997-02-12","1997-01-24",1,"0.2","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
10432,"SPLIR",3,"1997-01-31","1997-02-14","1997-02-07",2,"4.34","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10435,"CONSH",8,"1997-02-04","1997-03-18","1997-02-07",2,"9.21","Consolidated Holdings","Berkeley Gardens 12  Brewery","London",NULL,"WX1 6LT","UK"
10440,"SAVEA",4,"1997-02-10","1997-03-10","1997-02-28",2,"86.53","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10441,"OLDWO",3,"1997-02-10","1997-03-24","1997-03-14",2,"73.02","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10452,"SAVEA",8,"1997-02-20","1997-03-20","1997-02-26",1,"140.26","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10453,"AROUT",1,"1997-02-21","1997-03-21","1997-02-26",2,"25.36","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
10462,"CONSH",2,"1997-03-03","1997-03-31","1997-03-18",1,"6.17","Consolidated Holdings","Berkeley Gardens 12  Brewery","London",NULL,"WX1 6LT","UK"
10469,"WHITC",1,"1997-03-10","1997-04-07","1997-03-14",1,"60.18","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10471,"BSBEV",2,"1997-03-11","1997-04-08","1997-03-18",3,"45.59","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK"
