"ProductName","UnitsInStock"
"Chang",17
"Aniseed Syrup",13
"Chef Anton's Gumbo Mix",0
"Uncle Bob's Organic Dried Pears",15
"Northwoods Cranberry Sauce",6
"Alice Mutton",0
"Sir Rodney's Scones",3
"Gumbär Gummibärchen",15
"Thüringer Rostbratwurst",0
"Nord-Ost Matjeshering",10
"Gorgonzola Telino",0
"Mascarpone Fabioli",9
"Gravad lax",11
"Côte de Blaye",17
"Ipoh Coffee",17
"Rogede sild",5
"Chocolade",15
"Maxilaku",10
"Perth Pasties",0
"Tarte au sucre",17
"Louisiana Hot Spiced Okra",4
"Scottish Longbreads",6
"Outback Lager",15
"Mozzarella di Giovanni",14
"Longlife Tofu",4
